year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state
2006,Estado de Mxico,M s de 10 s.m.,4373965,2191786,2182179,0,0,0
2006,Estado de Mxico,M s de 2 hasta 3 s.m.,2177886,2121130,56756,0,0,0
2006,Estado de Mxico,M s de 3 hasta 5 s.m.,4462142,2858716,1603426,0,0,0
2006,Estado de Mxico,M s de 5 hasta 10 s.m.,626737,483598,143139,0,0,0
2006,Estado de Mxico,No especificado,271473,181572,89901,0,0,0
2006,Estado de Mxico,No recibe ingresos,1423197,1364426,58771,0,0,0
2006,Guanajuato,1 salario m¡nimo,8392,7655,737,0,0,0
2006,Guanajuato,Menos de 1 s.m.,1065328,927588,137740,0,0,0
2006,Guanajuato,M s de 1 hasta 2 s.m.,32233,28212,4021,0,0,0
2006,Guanajuato,M s de 10 s.m.,1419802,602317,817485,0,0,0
2006,Guanajuato,M s de 2 hasta 3 s.m.,689425,661964,27461,0,0,0
2006,Guanajuato,M s de 3 hasta 5 s.m.,1876549,1207693,668856,0,0,0
2006,Guanajuato,M s de 5 hasta 10 s.m.,283528,203307,80221,0,0,0
2006,Guanajuato,No especificado,48598,27507,21091,0,0,0
2006,Guanajuato,No recibe ingresos,180963,163950,17013,0,0,0
2006,Guerrero,1 salario m¡nimo,4653,4653,0,0,0,0
2006,Guerrero,Menos de 1 s.m.,1335555,1139334,196221,0,0,0
2006,Guerrero,M s de 1 hasta 2 s.m.,11023,9580,1443,0,0,0
2006,Guerrero,M s de 10 s.m.,714800,223982,490818,0,0,0
2006,Guerrero,M s de 2 hasta 3 s.m.,341106,333829,7277,0,0,0
2006,Guerrero,M s de 3 hasta 5 s.m.,526872,211619,315253,0,0,0
2006,Guerrero,M s de 5 hasta 10 s.m.,97982,79825,18157,0,0,0
2006,Guerrero,No especificado,30535,20025,10510,0,0,0
2006,Guerrero,No recibe ingresos,185244,178586,6658,0,0,0
2006,Hidalgo,1 salario m¡nimo,15800,15800,0,0,0,0
2006,Hidalgo,Menos de 1 s.m.,936991,771526,165465,0,0,0
2006,Hidalgo,M s de 1 hasta 2 s.m.,27723,25005,2718,0,0,0
2006,Hidalgo,M s de 10 s.m.,593203,281364,311839,0,0,0
2006,Hidalgo,M s de 2 hasta 3 s.m.,312574,308799,3775,0,0,0
2006,Hidalgo,M s de 3 hasta 5 s.m.,634539,377227,257312,0,0,0
2006,Hidalgo,M s de 5 hasta 10 s.m.,72123,57489,14634,0,0,0
2006,Hidalgo,No especificado,21311,14198,7113,0,0,0
2006,Hidalgo,No recibe ingresos,115717,107540,8177,0,0,0
2006,Jalisco,1 salario m¡nimo,9270,9270,0,0,0,0
2006,Jalisco,Menos de 1 s.m.,1110505,934904,175601,0,0,0
2006,Jalisco,M s de 1 hasta 2 s.m.,37379,30742,6637,0,0,0
2006,Jalisco,M s de 10 s.m.,2079967,984607,1095360,0,0,0
2006,Jalisco,M s de 2 hasta 3 s.m.,1013480,982145,31335,0,0,0
2006,Jalisco,M s de 3 hasta 5 s.m.,2441473,1466134,975339,0,0,0
2006,Jalisco,M s de 5 hasta 10 s.m.,374357,282211,92146,0,0,0
2006,Jalisco,No especificado,88997,52829,36168,0,0,0
2006,Jalisco,No recibe ingresos,423171,387677,35494,0,0,0
2006,Michoac n,1 salario m¡nimo,1713,1713,0,0,0,0
2006,Michoac n,Menos de 1 s.m.,1508045,1274373,233672,0,0,0
2006,Michoac n,M s de 1 hasta 2 s.m.,34025,26149,7876,0,0,0
2006,Michoac n,M s de 10 s.m.,1193395,459413,733982,0,0,0
2006,Michoac n,M s de 2 hasta 3 s.m.,481337,475605,5732,0,0,0
2006,Michoac n,M s de 3 hasta 5 s.m.,913794,554464,359330,0,0,0
2006,Michoac n,M s de 5 hasta 10 s.m.,174278,144723,29555,0,0,0
2006,Michoac n,No especificado,54132,35205,18927,0,0,0
